"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",1,1.03926634327526,1.03926634327526,1.03926634327526,"6","6",37
"2",1,0.763064561159086,0.763064561159086,0.763064561159086,"43","43",3
"3",17,16.7938659414007,0.987874467141218,1.46375103170425,"46","62",19
"4",1,0.826537265852947,0.826537265852947,0.826537265852947,"65","65",5
"5",19,22.5024253939098,1.18433817862683,2.02143576164154,"70","88",20
"6",7,6.20734838510381,0.88676405501483,1.12874935199511,"90","96",8
"7",3,2.53424253223355,0.844747510744516,1.22145058757919,"98","100",6
"8",3,2.59305626558627,0.864352088528755,1.00547499939144,"104","106",6
"9",2,1.30050968743369,0.650254843716844,0.756778592259172,"110","111",15
"10",1,0.792323549972547,0.792323549972547,0.792323549972547,"125","125",11
"11",2,1.32371748992413,0.661858744962065,0.710315856363403,"136","137",3
"12",2,1.52800998549206,0.764004992746032,0.764654264423732,"139","140",3
"13",4,2.96162477752378,0.740406194380945,0.949091718988861,"142","145",5
"14",1,0.64757813448873,0.64757813448873,0.64757813448873,"147","147",17
"15",1,0.757715179124041,0.757715179124041,0.757715179124041,"164","164",19
"16",1,0.669314662204005,0.669314662204005,0.669314662204005,"183","183",11
"17",5,4.36104455042598,0.872208910085196,1.11971089369947,"194","198",44
"18",6,4.34401177411183,0.724001962351972,0.821946185188792,"238","243",7
"19",2,1.64593125448426,0.822965627242132,1.02923469284549,"245","246",16
"20",1,0.50609878119532,0.50609878119532,0.50609878119532,"261","261",11
"21",5,3.56116485144838,0.712232970289676,0.978539282258724,"272","276",8
"22",14,13.335145982539,0.952510427324213,1.40008979165177,"280","293",82
"23",1,0.501368685552625,0.501368685552625,0.501368685552625,"362","362",2
"24",1,0.553499520676473,0.553499520676473,0.553499520676473,"364","364",3
"25",1,0.594212185258394,0.594212185258394,0.594212185258394,"367","367",7
"26",2,1.32091245778639,0.660456228893196,0.738146966925149,"374","375",4
"27",4,3.81793784286674,0.954484460716685,1.07430017626669,"378","381",35
"28",9,9.94050995542234,1.10450110615804,1.80258435774,"413","421",18
"29",9,11.9989052340019,1.33321169266688,1.95180981490999,"431","439",33
"30",7,9.52926375289826,1.36132339327118,1.91032855630158,"464","470",16
"31",1,0.658110061146907,0.658110061146907,0.658110061146907,"480","480",7
"32",7,7.4349414060581,1.06213448657973,1.19916745451244,"487","493",24
"33",24,27.6000854396545,1.1500035599856,1.84167519704412,"511","534",46
"34",1,0.578249572253175,0.578249572253175,0.578249572253175,"557","557",23
"35",14,14.2080904811045,1.01486360579318,1.92027027482035,"580","593",23
"36",13,25.0418874752157,1.92629903655506,2.60133015251226,"603","615",26
"37",1,1.37046130381572,1.37046130381572,1.37046130381572,"629","629",12
"38",1,0.711985209522126,0.711985209522126,0.711985209522126,"641","641",5
"39",2,1.22946695294388,0.614733476471938,0.631386886902528,"646","647",3
"40",13,16.8972993984285,1.29979226141758,1.91947695134832,"649","661",16
"41",6,4.83357896886658,0.805596494811097,0.970679856819225,"665","670",7
"42",1,0.802774024001698,0.802774024001698,0.802774024001698,"672","672",9
"43",22,30.3185885236071,1.37811766016396,2.04917798669926,"681","702",33
"44",2,1.16648996224104,0.583244981120521,0.65000297424555,"714","715",3
"45",2,1.23101443867783,0.615507219338914,0.6906041177614,"717","718",3
"46",5,6.80591453495768,1.36118290699154,1.68780053469513,"720","724",NA
